GESTOR,DEPARTAMENTO,MUNICIPIO,# ZONAS WIFI,NOMBRE DEL SITIO,DIRECCIÓN ,UBICACIÓN,Nueva columna georreferenciada_1
Gobernación,Valle del Cauca,El Dovio,1,Parque principal barrio central,Cra 7 y 8 calle 7 esquina,"(4.511700,-76.23867)","(4.5117, -76.23867)"
Gobernación,Valle del Cauca,Florida,1,Parque chocosito,Cra 20 entre 9 y 10,"(3.287426,-76.299126)","(3.287426, -76.299126)"
Gobernación,Valle del Cauca,Florida,1,Parque bosque Municipal,Calle 6 con cra 7,"(3.316667,-72.28889)","(3.316667, -72.28889)"
Gobernación,Valle del Cauca,Ginebra,1,Corregimiento de Costa Rica Parque Central,Carrera 5 entre calles 11 y 12,"(3.752401,-76.233502)","(3.752401, -76.233502)"
Gobernación,Valle del Cauca,Ginebra,1,Parque del samán,Cra 2N con calle 9 y 10,"(3.316667,-72.28891)","(3.316667, -72.28891)"
Gobernación,Valle del Cauca,Guacarí,1,Casa de la cultura,Calle 4 No 7 - 46,"(3.762778,-76.332472)","(3.762778, -76.332472)"
Gobernación,Valle del Cauca,Guacarí,1,Parque principal,Calle 3 y 4 con carrera 8 y 9,"(3.763194,-76.33425)","(3.763194, -76.33425)"
Gobernación,Valle del Cauca,Guacarí,1,Plazoleta galería,Calle 6 y séptima con carrera 6,"(3.764598,-76.33206)","(3.764598, -76.33206)"
Gobernación,Valle del Cauca,Jamundí,1,Coliseo Alfaguara (imdere),Calle 2 / carrera 15,"( 3.764598,-76.5494444)","(3.764598, -76.5494444)"
Gobernación,Valle del Cauca,Jamundí,1,Villa paz ( parque principal),Corregimiento Villa Paz,"( 3.134444,-76.5436111)","(3.134444, -76.5436111)"
Gobernación,Valle del Cauca,Jamundí,1,Jamundí ( parque principal),Carrera 10 y 11,"(3.261784,-76.540846)","(3.261784, -76.540846)"
Gobernación,Valle del Cauca,Jamundí,1,Robles ( parque principal),Corregimiento de Robles,"(3.129175,-76.594305)","(3.129175, -76.594305)"
Gobernación,Valle del Cauca,Jamundí,1,Jamundí ( parque Bello Horizontal),Carrera 6 con Calle 16B,"(3.265000,-76.5338)","(3.265, -76.5338)"
Gobernación,Valle del Cauca,La cumbre,1,Parque Villanueva,Cra 7y 8 entre calle 3 y 4,"(3.650278,-76.569722)","(3.650278, -76.569722)"
Gobernación,Valle del Cauca,La cumbre,1,Parque el samán,Corregimiento de pavas,"(3.650278,-76.5838888)","(3.650278, -76.5838888)"
Gobernación,Valle del Cauca,La Unión,1,Parque principal Argerimo escobar Cardona,Calle 15 No 16-49,"( 4.532144,-76.1027)","(4.532144, -76.1027)"
Gobernación,Valle del Cauca,La Unión,1,Casa de la cultura y la Ermita,Cra 10 entre calle 14 y 15,"(4.532144,-76.1015)","(4.532144, -76.1015)"
